District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
Sant Martí,el Camp de l'Arpa del Clot,Las Navas de Tolosa                               ,Thursday,May,25,14,Afternoon,1,0,1,3,2.185272,41.416365
Sant Martí,el Camp de l'Arpa del Clot,Indústria / Trinxant                              ,Wednesday,September,20,12,Morning,1,0,1,2,2.183245,41.416336
Sant Martí,el Camp de l'Arpa del Clot,Trinxant / Indústria                              ,Saturday,May,20,21,Afternoon,1,0,1,2,2.183245,41.416336
Sant Martí,el Camp de l'Arpa del Clot,Indústria                                         ,Tuesday,December,26,20,Afternoon,2,0,2,1,2.183561,41.416372
Sant Martí,el Camp de l'Arpa del Clot,Indústria                                         ,Monday,June,12,15,Afternoon,1,0,1,1,2.184059,41.416763
Sant Martí,el Camp de l'Arpa del Clot,Maragall                                          ,Wednesday,May,3,20,Afternoon,1,0,1,1,2.181225,41.413958
Sant Martí,el Camp de l'Arpa del Clot,Indústria                                         ,Thursday,December,14,20,Afternoon,1,0,1,2,2.18229,41.415772
Sant Martí,el Camp de l'Arpa del Clot,ST ANTONI M CLARET / Pg Maragall                  ,Wednesday,January,11,7,Morning,1,0,1,2,2.180453,41.41579
Sant Martí,el Camp de l'Arpa del Clot,Sant Antoni Maria Claret / Guinardó               ,Friday,June,30,12,Morning,1,0,1,2,2.18114,41.416295
Sant Martí,el Camp de l'Arpa del Clot,Sant Antoni Maria Claret                          ,Monday,September,4,16,Afternoon,0,1,1,2,2.176324,41.412546
Sant Martí,el Camp de l'Arpa del Clot,Sant Antoni Maria Claret                          ,Saturday,September,30,19,Afternoon,1,0,1,2,2.176324,41.412546
Sant Martí,el Camp de l'Arpa del Clot,Còrsega / Còrsega                                 ,Monday,April,17,14,Afternoon,1,0,1,2,2.178314,41.410784
Sant Martí,el Camp de l'Arpa del Clot,CÒRSEGA / Dos de Maig                             ,Saturday,March,25,14,Afternoon,4,0,4,2,2.177719,41.410323
Sant Martí,el Camp de l'Arpa del Clot,Indústria                                         ,Thursday,November,9,22,Night,1,0,1,1,2.17674,41.411445
Sant Martí,el Camp de l'Arpa del Clot,Rosselló / Independència                          ,Monday,December,4,0,Night,2,0,2,2,2.1801,41.410287
Sant Martí,el Camp de l'Arpa del Clot,VALÈNCIA                                          ,Friday,March,17,16,Afternoon,1,0,1,2,2.184855,41.408993
Sant Martí,el Camp de l'Arpa del Clot,València                                          ,Thursday,September,14,14,Afternoon,1,0,1,2,2.154877,41.38621
Sant Martí,el Camp de l'Arpa del Clot,València / Independència                          ,Wednesday,September,20,20,Afternoon,0,1,1,2,2.183407,41.407785
Sant Martí,el Camp de l'Arpa del Clot,València                                          ,Monday,October,30,20,Afternoon,1,0,1,2,2.184033,41.408102
Sant Martí,el Camp de l'Arpa del Clot,ARAGÓ / Corunya                                   ,Monday,March,20,19,Afternoon,1,0,1,2,2.185732,41.407803
Sant Martí,el Camp de l'Arpa del Clot,MALLORCA                                          ,Tuesday,February,7,11,Morning,1,0,1,1,2.181775,41.408393
Sant Martí,el Camp de l'Arpa del Clot,Mallorca                                          ,Wednesday,November,22,20,Afternoon,1,0,1,2,2.181955,41.408529
Sant Martí,el Camp de l'Arpa del Clot,DOS DE MAIG / Mallorca                            ,Wednesday,March,8,12,Morning,1,0,1,2,2.181123,41.407749
Sant Martí,el Camp de l'Arpa del Clot,Mallorca / Dos de Maig                            ,Saturday,October,7,6,Morning,2,0,2,4,2.181123,41.407749
