Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2017,1,Ciutat Vella,1,el Raval,Male,45-49,2162
2016,9,Sant Andreu,62,el Congrés i els Indians,Female,25-29,370
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,35-39,1102
2015,8,Nou Barris,56,Vallbona,Female,70-74,22
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,60-64,113
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,20-24,621
2014,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Male,40-44,815
2013,2,Eixample,10,Sant Antoni,Female,55-59,1228
2015,7,Horta-Guinardó,36,la Font d'en Fargues,Male,5-9,193
2015,3,Sants-Montjuïc,11,el Poble Sec,Female,>=95,78
2013,3,Sants-Montjuïc,16,la Bordeta,Female,65-69,543
2017,2,Eixample,5,el Fort Pienc,Female,35-39,1126
2016,2,Eixample,5,el Fort Pienc,Male,10-14,576
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,15-19,430
2015,9,Sant Andreu,60,Sant Andreu,Female,35-39,2538
2013,10,Sant Martí,65,el Clot,Female,25-29,894
2015,10,Sant Martí,70,el Besòs i el Maresme,Male,5-9,617
2015,8,Nou Barris,51,Verdun,Male,5-9,288
2016,6,Gràcia,29,el Coll,Female,40-44,265
2014,9,Sant Andreu,62,el Congrés i els Indians,Female,85-89,360
2015,8,Nou Barris,53,la Trinitat Nova,Female,85-89,146
2015,8,Nou Barris,45,Porta,Female,90-94,170
2016,8,Nou Barris,51,Verdun,Male,0-4,220
2014,3,Sants-Montjuïc,18,Sants,Female,45-49,1561
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Male,15-19,151
2016,9,Sant Andreu,58,Baró de Viver,Male,20-24,83
2016,3,Sants-Montjuïc,18,Sants,Female,15-19,683
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Male,35-39,846
2013,8,Nou Barris,53,la Trinitat Nova,Male,55-59,173
2016,8,Nou Barris,56,Vallbona,Female,20-24,30
2016,8,Nou Barris,53,la Trinitat Nova,Male,80-84,93
2017,9,Sant Andreu,62,el Congrés i els Indians,Female,10-14,266
2017,2,Eixample,10,Sant Antoni,Female,85-89,753
2017,7,Horta-Guinardó,33,el Baix Guinardó,Male,70-74,551
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,5-9,556
2015,10,Sant Martí,68,el Poblenou,Female,5-9,903
2013,2,Eixample,10,Sant Antoni,Male,55-59,1024
2015,6,Gràcia,29,el Coll,Female,5-9,122
2013,10,Sant Martí,72,Sant Martí de Provençals,Male,0-4,415
2014,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Male,35-39,730
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,50-54,265
2015,1,Ciutat Vella,1,el Raval,Male,60-64,866
2014,6,Gràcia,30,la Salut,Female,90-94,97
