Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2017,10,Sant Martí,73,la Verneda i la Pau,Male,75-79,628
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,85-89,349
2016,7,Horta-Guinardó,34,Can Baró,Male,85-89,66
2013,9,Sant Andreu,58,Baró de Viver,Male,10-14,43
2013,9,Sant Andreu,57,la Trinitat Vella,Female,80-84,139
2017,10,Sant Martí,71,Provençals del Poblenou,Female,35-39,901
2016,7,Horta-Guinardó,38,la Teixonera,Male,35-39,512
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,25-29,725
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,50-54,964
2017,9,Sant Andreu,58,Baró de Viver,Male,75-79,20
2017,9,Sant Andreu,62,el Congrés i els Indians,Female,20-24,364
2017,3,Sants-Montjuïc,11,el Poble Sec,Female,80-84,663
2016,3,Sants-Montjuïc,18,Sants,Male,20-24,751
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,80-84,899
2014,4,Les Corts,21,Pedralbes,Female,10-14,343
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,0-4,617
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Male,85-89,302
2014,9,Sant Andreu,60,Sant Andreu,Female,55-59,2114
2014,1,Ciutat Vella,3,la Barceloneta,Female,90-94,128
2016,8,Nou Barris,47,Can Peguera,Female,40-44,58
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Female,45-49,954
2016,8,Nou Barris,49,Canyelles,Female,45-49,214
2016,7,Horta-Guinardó,35,el Guinardó,Male,45-49,1365
2013,9,Sant Andreu,57,la Trinitat Vella,Female,40-44,327
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,70-74,1256
2015,3,Sants-Montjuïc,15,Hostafrancs,Male,0-4,346
2016,8,Nou Barris,54,Torre Baró,Male,60-64,64
2014,8,Nou Barris,48,la Guineueta,Male,50-54,473
2014,8,Nou Barris,51,Verdun,Male,75-79,293
2015,8,Nou Barris,51,Verdun,Female,0-4,227
2015,10,Sant Martí,72,Sant Martí de Provençals,Female,65-69,929
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,75-79,230
2017,10,Sant Martí,73,la Verneda i la Pau,Male,25-29,720
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,35-39,1514
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,15-19,106
2015,3,Sants-Montjuïc,16,la Bordeta,Female,85-89,289
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Female,70-74,225
2015,2,Eixample,7,la Dreta de l'Eixample,Male,0-4,980
2015,8,Nou Barris,47,Can Peguera,Male,35-39,71
2013,2,Eixample,7,la Dreta de l'Eixample,Female,15-19,755
2016,8,Nou Barris,49,Canyelles,Female,90-94,29
2014,8,Nou Barris,46,el Turó de la Peira,Female,90-94,134
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,55-59,770
2014,2,Eixample,6,la Sagrada Família,Male,20-24,1142
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,65-69,470
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,30-34,721
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,60-64,1011
2016,3,Sants-Montjuïc,18,Sants,Female,20-24,918
2017,3,Sants-Montjuïc,16,la Bordeta,Male,15-19,399
2015,8,Nou Barris,51,Verdun,Male,40-44,505
2017,8,Nou Barris,48,la Guineueta,Female,30-34,408
2016,2,Eixample,5,el Fort Pienc,Male,35-39,1506
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,Male,35-39,181
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,80-84,469
2014,2,Eixample,6,la Sagrada Família,Male,0-4,783
2016,8,Nou Barris,52,la Prosperitat,Male,30-34,851
2013,1,Ciutat Vella,1,el Raval,Male,35-39,3452
2016,8,Nou Barris,56,Vallbona,Female,80-84,27
2016,3,Sants-Montjuïc,16,la Bordeta,Female,80-84,445
2014,8,Nou Barris,55,Ciutat Meridiana,Male,30-34,360
2014,8,Nou Barris,50,les Roquetes,Female,15-19,277
2015,8,Nou Barris,48,la Guineueta,Male,80-84,316
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,5-9,293
2017,2,Eixample,6,la Sagrada Família,Male,5-9,723
2017,9,Sant Andreu,58,Baró de Viver,Female,35-39,83
2013,8,Nou Barris,53,la Trinitat Nova,Female,50-54,201
2016,8,Nou Barris,53,la Trinitat Nova,Female,15-19,152
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,85-89,1077
2013,8,Nou Barris,54,Torre Baró,Female,25-29,54
2013,8,Nou Barris,56,Vallbona,Male,65-69,20
2015,6,Gràcia,31,la Vila de Gràcia,Female,60-64,1396
2017,8,Nou Barris,51,Verdun,Male,90-94,17
2016,8,Nou Barris,49,Canyelles,Male,65-69,225
2016,8,Nou Barris,55,Ciutat Meridiana,Male,85-89,32
2013,7,Horta-Guinardó,38,la Teixonera,Female,20-24,272
2016,1,Ciutat Vella,2,el Barri Gòtic,Male,10-14,215
2014,4,Les Corts,20,la Maternitat i Sant Ramon,Female,45-49,782
2014,8,Nou Barris,45,Porta,Male,10-14,465
2017,3,Sants-Montjuïc,16,la Bordeta,Female,>=95,37
2015,10,Sant Martí,71,Provençals del Poblenou,Female,>=95,30
